0,1119,0,2437
792,18552161,4707,126649215
3100,18302523,7989,123039724
1687,18622554,6908,126087923
658,18570268,5817,128194985
8182,16779563,26510,109364084
7761,17118778,19256,111844258
2173,18715661,8030,126644319
800,19333259,3055,131392712
5093,18814475,11912,125692202
8006,17496131,16279,95347115
7483,18420006,13908,119534598
6662,18242639,15338,119866573
6501,18588663,12172,124037163
6141,18298405,14078,122981394
2589,18994221,3844,128628601
1610,18867876,2615,131205754
1156,19108776,3119,131728953
2514,18617327,5565,127689492
2432,18541531,4842,127222663
4195,18694669,12833,126337451
2681,18734750,6301,127580734
1676,18831439,6239,129473492
2513,18428224,5763,126319393
1962,19004133,4072,129603032
4733,18633096,9570,124386086
3887,18884110,14830,125199217
1819,18613583,6040,127748411
6590,18494540,19102,120747975
8813,17534912,13413,115237643
8943,17508850,19399,109811044
7115,17741974,10336,117599800
1954,18938489,6204,128909893
2018,19322296,7086,129158460
2173,18848621,4903,127942163
1284,18883595,3753,130370808
3284,18420259,5637,124801203
3399,18575784,8827,125983313
3933,18866405,11293,127629972
3293,19365138,11196,128109876
2821,18772339,7689,127551189
4376,18604905,17060,123791014
3958,18785657,9627,127109279
4251,18925719,12253,126032031
737,18718533,2852,129040715
3822,18390167,6799,125468938
7880,18481742,14341,121086994
5711,18823792,14487,120565637
759,19452659,2980,129724285
1116,18920243,4174,130608034
3778,18466741,8148,123807639
1699,18887070,5448,128269410
2166,18522224,5631,126691427
683,18982512,2346,131790782
4858,20152182,10902,119753330
8228,18674267,18567,114110399
3251,18112339,6601,122555560
1212,18587033,3242,129275589
3428,18384052,10585,123895163
1517,18840209,8663,127897688
1407,18802607,4150,129187862
8435,20868409,9898,116304503
10646,16820848,23938,104473514
6424,21278024,16052,121381763
10454,17736943,23045,110169416
2256,18835362,6568,128880251
3874,18723923,6679,125327220
5930,19700610,17724,116869131
2072,18732751,6776,129061400
5298,18475330,14305,121983913
17614,17501169,36480,102813957
9757,17819906,12244,116632441
7919,18070384,12734,118769274
10178,18261629,25468,115582766
10313,17648440,19747,109268723
6253,17873319,9322,117212005
5657,19120109,16799,124670331
9686,18031693,16072,115135256
8640,17542294,17570,115288585
11444,17643292,19165,112830000
9092,18297210,13496,119736410
8211,18523011,9967,121761364
9961,18209338,17062,116300718
4129,18381399,9801,124154402
1851,18766330,6918,128556258
885,19133716,2617,132309494
1996,18939838,4892,130199999
7919,18575974,11647,123655073
9863,17886904,21978,112224014
11265,17704499,25190,112380950
10928,17773470,16166,113314776
11350,17727272,24352,113451174
11041,17709292,17082,113716860
10234,18089832,20997,115061798
7103,20104585,16585,119154485
8516,17952711,18445,112609987
7189,18336531,8448,123742844
8577,19691177,25328,109199236
8338,17764161,15711,117115423
9675,18419512,19304,117836422
