0,0,0,0
40985,651715,30050,98689
55330,731967,30698,98827
61112,914457,37269,110437
50157,648230,26859,98613
55122,713369,35661,110095
58696,843068,40254,122473
54463,690441,34129,110291
53198,704455,34178,110021
56515,724628,34248,110047
47348,664736,27744,98617
52633,689536,27272,145862
49103,622208,26680,98389
49950,648713,28020,98629
60762,906935,38036,111067
52477,716373,31798,98865
50983,743993,35807,111061
48730,656745,25456,97635
68549,882495,33686,110033
53410,771110,36105,107267
52832,781149,39555,113150
55706,839421,40282,113188
53699,763008,37510,110030
48342,688334,35436,110050
52879,752605,36069,111052
45439,699152,36792,111062
59939,943113,44385,123427
49302,681613,37788,110170
48107,728212,38422,111032
2959343,3178005,1647072,10199534
61836,951725,40589,122765
51843,681609,29683,97805
53411,680217,28599,97616
50228,683905,28224,97600
42992,590040,27732,97604
47086,635657,26019,97528
46449,604492,28197,97612
50661,688096,29855,97606
59611,850413,40807,122519
51250,689759,31912,110229
48727,714905,36502,111117
49729,665792,32316,110035
63504,952537,36318,110096
51921,725630,32771,102020
50454,683881,28658,97617
49852,709903,28280,97632
54881,777533,37343,111125
50797,718260,33272,110049
48521,658390,32012,110055
50419,724673,33424,110017
53580,771618,34044,111067
49997,645309,27621,97814
50789,688156,28661,97624
52820,740091,29384,98894
64470,932938,36830,158348
44219,582982,25739,95556
50490,734835,34452,111037
52257,706190,28671,97566
50411,684112,28513,97632
51920,691946,30269,97628
49601,746136,36155,111097
50277,747135,36578,111055
63107,955375,42777,122559
52032,750493,38067,111305
49266,736517,35568,111123
49156,669880,28327,97606
64392,923978,36462,110132
50934,649269,27667,97860
51455,667454,29263,97658
54935,698015,28051,99734
40861,552903,26151,97544
50489,675053,32673,110006
49381,681744,32127,110014
50602,663388,34317,110004
61553,865547,38158,122413
48787,670646,32265,110162
51902,672831,29174,97586
52648,694427,28989,97512
1939164,2166492,1291244,7404969
1003636,1894650,606584,4262337
95879,1210425,58955,193571
9645,192265,5971,14360
81281,1119055,60772,205720
8245,179095,6867,14372
43280,636099,30491,99649
51190,695917,28629,97642
63280,916078,37007,111071
51210,721266,31380,102004
52276,744933,35397,110047
50142,725329,36570,111171
61401,1004196,44839,125647
54968,740838,37843,110279
49685,711186,35717,110007
48621,762586,36449,110692
56684,786044,39973,113073
62010,913072,37844,128905
38450,567287,34532,89179
76347,1055544,60658,245198
59522,879749,37516,110097
54506,767407,38168,111436
